line_name,specimen__id,specimen__name,specimen__hemisphere,structure__id,structure__name,structure__acronym,structure_parent__id,structure_parent__acronym,structure__layer,nr__max_euclidean_distance,nr__number_stems,nr__number_bifurcations,nr__average_contraction,nr__average_parent_daughter_ratio,nr__reconstruction_type,nrwkf__id,erwkf__id,ef__fast_trough_v_long_square,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__f_i_curve_slope,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,si__height,si__width,si__path,csl__x,csl__y,csl__z,csl__normalized_depth,cell_reporter_status,m__glif,m__biophys,m__biophys_perisomatic,m__biophys_all_active,tag__apical,tag__dendrite_type,morph_thumb_path,ephys_thumb_path,ephys_inst_thresh_thumb_path,donor__age,donor__sex,donor__disease_state,donor__race,donor__years_of_seizure_history,donor__species,donor__id,donor__name,,,,
Rbp4-Cre_KL100,485838981,Rbp4-Cre_KL100;Ai14-204744.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,599.4633644048,7,62,0.9078769537,0.863328765,dendrite-only,508279022,491316594,-42.8125038147,4.2805741868,0.0484987688,0.1241935466,190,14.0124088272,127.4021428571,7.8491615414,95.6248864532,7.47414,-73.8727722168,9399,7582,/external/mousecelltypes/prod506/specimen_485838981/min_xy_485838981.aff,8822,1277.9722516532,3144.2127725202,0.5446136623,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/508279173,/api/v2/well_known_file_download/485860065,/api/v2/well_known_file_download/491378448,,,,,,Mus,musculus,485673559,Homo,Sapiens,504921484,H16.06.004
Rbp4-Cre_KL100,485835055,Rbp4-Cre_KL100;Ai14-204744.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,660.5083219046,14,58,0.9190636952,0.8146427777,dendrite-only,496123899,491316580,-47.3437538147,3.2465301047,0.0168667895,0.1547618982,170,16.2139673128,61.2356666667,16.3303521368,93.75,6.4948,-76.0012969971,11251,9429,/external/mousecelltypes/prod506/specimen_485835055/min_xy_485835055.aff,8918,1381.7735935562,8634.0278317367,0.6447903744,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/496139526,/api/v2/well_known_file_download/485856849,/api/v2/well_known_file_download/491377797,,,,,,Mus,musculus,485673559,Ctgf-2A-dgCre;Ai14(IVSCC)-252904,,,
Rbp4-Cre_KL100,485835016,Rbp4-Cre_KL100;Ai14-204744.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,580.9967288834,7,47,0.8819260589,0.7868706535,dendrite-only,496123861,491316896,-43.1875038147,4.4891410803,0.0690320929,0.1322485217,160,15.4935912138,95.628,10.4571882712,90.156249702,6.7392083333,-71.9120330811,7579,11262,/external/mousecelltypes/prod506/specimen_485835016/min_xy_485835016.aff,9353,1590.3257283798,2713.2055524004,0.5494097624,positive,5,0,0,0,intact,spiny,/api/v2/well_known_file_download/496139468,/api/v2/well_known_file_download/485856738,/api/v2/well_known_file_download/491384101,,,,,,Mus,musculus,485673559,527747035,H16.06.008,,
Rbp4-Cre_KL100,485574832,Rbp4-Cre_KL100;Ai14-203498.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,577.4033805565,9,44,0.882853384,0.8296369233,dendrite-only,496001063,491316923,-48.4375038147,3.0848607096,0.0019687691,0.1936058683,190,13.2719447786,118.6307142857,8.4295201797,80.3125798702,7.84801,-71.4556655884,9411,7587,/external/mousecelltypes/prod494/specimen_485574832/min_xy_485574832.aff,8580,1005.4721947408,3560.5251012513,0.5233091386,positive,5,2,1,1,intact,spiny,/api/v2/well_known_file_download/496001248,/api/v2/well_known_file_download/485577430,/api/v2/well_known_file_download/491384243,,,,,,Mus,musculus,485250251,Scnn1a-Tg2-Cre;Ai14(IVSCC)-185900,,,
Rbp4-Cre_KL100,485574721,Rbp4-Cre_KL100;Ai14-203498.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,523.4544246596,10,47,0.9187925969,0.9139097448,dendrite-only,496085100,491316932,-49.0625,3.660713243,0.0266305931,0.1196428634,110,22.4541160442,100.8083333333,9.9198148301,113.2812574506,6.46112,-77.2494049072,7631,9593,/external/mousecelltypes/prod495/specimen_485574721/min_xy_485574721.aff,8490,1270.7936590859,8537.5139561019,0.4959147696,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/496085390,/api/v2/well_known_file_download/485577548,/api/v2/well_known_file_download/491382037,,,,,,Mus,musculus,485250251,Rorb-IRES2-Cre-D;Ai14-212868,,,
Rbp4-Cre_KL100,479721491,Rbp4-Cre_KL100;Ai14-196624.05.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,439.8648055397,9,45,0.8822336397,0.8372891765,dendrite-only,512328250,491202867,-45,3.9522051522,0.1039141876,0.0683593822,150,20.8820934116,153.395,6.5191173115,125.9375065565,5.6780633333,-78.1010055542,7573,5752,/external/mousecelltypes/prod435/specimen_479721491/min_xy_479721491.aff,8324.2254077154,1113.289016079,3144.9337752834,0.5119709731,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/512328380,/api/v2/well_known_file_download/487622744,/api/v2/well_known_file_download/491376551,,,,,,Mus,musculus,478595246,Ndnf-IRES2-dgCre;Ai14-280611,,,
Rbp4-Cre_KL100,471767045,Rbp4-Cre_KL100;Ai14-180748.02.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,586.8934365158,13,66,0.8752203504,0.8728686816,dendrite-only,491771195,491202904,-42.75,3.6039451917,0.0611329397,0.1440660403,209.9999847412,15.1601907652,127.5614285714,7.8393603082,75.6250023842,7.5629016667,-70.3271865845,7604,7588,/external/mousecelltypes/prod330/specimen_471767045/min_xy_471767045.aff,9489.2425750907,1670.3188350733,2658.9853739812,0.5511215475,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660139,/api/v2/well_known_file_download/487621625,/api/v2/well_known_file_download/491377500,,,,,,Mus,musculus,469953301,Rbp4-Cre_KL100;Ai14-203503,,,
Rbp4-Cre_KL100,471758398,Rbp4-Cre_KL100;Ai14-180748.06.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,448.1234602212,7,17,0.8899129618,0.8283336512,dendrite-only,495335438,491202839,-47.6562538147,2.2906380048,,0.0405063291,150,23.6110219254,47.555,21.0282830407,234.6876114607,4.439255,-76.8264770508,9453,7614,/external/mousecelltypes/prod327/specimen_471758398/min_xy_471758398.aff,8067.9216308928,969.7883000831,7807.7476000533,0.7286592798,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660473,/api/v2/well_known_file_download/487622576,/api/v2/well_known_file_download/491377744,,,,,,Mus,musculus,469953301,Rorb-IRES2-Cre-D;Ai14(IVSCC)-178211,,,
Rbp4-Cre_KL100,471143169,Rbp4-Cre_KL100;Ai14-180747.06.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,693.8939122272,8,22,0.9019634255,0.8064056155,dendrite-only,492413285,491202669,-48.8437538147,2.8107646052,0.0917128299,0.2081693059,100,25.6384772994,73.97625,13.5178520133,193.2812482119,5.28911,-77.2745437622,11252,9454,/external/mousecelltypes/prod327/specimen_471143169/min_xy_471143169.aff,8161.1230042829,1199.4674515301,3213.611066632,0.743989554,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660880,/api/v2/well_known_file_download/487622215,/api/v2/well_known_file_download/491376802,,,,,,Mus,musculus,469953288,Sst-IRES-Cre;Ai14-212983,,,
Rbp4-Cre_KL100,471141261,Rbp4-Cre_KL100;Ai14-180747.02.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,482.6305936754,7,20,0.8565420239,0.9926901601,dendrite-only,501146908,491202687,-43.1250038147,3.9278155439,0.015226471,0.1594293135,209.9999847412,14.5823818029,85.318,11.7208560913,91.2500023842,8.6697116667,-78.7921066284,7627,7921,/external/mousecelltypes/prod314/specimen_471141261/min_xy_471141261.aff,9046.5360514881,1307.0660988186,3174.9334463322,0.6578740996,positive,5,0,0,0,intact,spiny,/api/v2/well_known_file_download/487660858,/api/v2/well_known_file_download/487624978,/api/v2/well_known_file_download/491380421,,,,,,Mus,musculus,469953288,Chrna2-Cre_OE25;Ai14(BT)-279957,,,
Rbp4-Cre_KL100,471129934,Rbp4-Cre_KL100;Ai14-180747.06.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,502.5660288446,9,49,0.8802992455,0.8713137868,dendrite-only,495335493,491202812,-46.59375,3.5442468637,,0.0802083249,290,15.5961482196,64.985,15.3881665,94.3750739098,6.3994216667,-68.621887207,11298,11282,/external/mousecelltypes/prod324/specimen_471129934/min_xy_471129934.aff,7816,1044.3392393064,8156.4064689723,0.5342640012,positive,5,2,1,1,intact,spiny,/api/v2/well_known_file_download/487660964,/api/v2/well_known_file_download/487621398,/api/v2/well_known_file_download/491377475,,,,,,Mus,musculus,469953288,Nr5a1-Cre;Ai14-237786,,,
