branch_id,start,end,parent_point,parent_branch
0,2,100,1,-1
1,101,194,43,0
2,195,239,23,0
3,240,291,210,2
4,292,376,16,0
5,377,411,315,4
6,412,503,296,4
7,504,538,440,6
8,539,622,504,7
9,623,681,428,6
10,682,733,655,9
11,734,778,644,9
12,779,844,747,11
13,845,969,788,12
14,970,1216,887,13
15,1217,1579,1109,14
16,1580,1659,1488,15
17,1660,1743,1462,15
18,1744,1776,1687,17
19,1777,1919,1422,15
20,1920,1955,1887,19
21,1956,2080,1834,19
22,2081,2201,1402,15
23,2202,2277,2131,22
24,2278,2348,2228,23
25,2349,2419,2303,24
26,2420,2769,1272,15
27,2770,2831,2615,26
28,2832,2864,2774,27
29,2865,2916,2858,28
30,2917,3059,2545,26
31,3060,3136,2981,30
32,3137,3266,2951,30
33,3267,3309,1074,14
34,3310,3389,1016,14
35,3390,3404,999,14
36,3405,3495,868,13
37,3496,3596,863,13
38,3597,3664,854,13
39,3665,3754,747,11
40,3755,3798,3695,39
41,3799,3825,624,9
42,3826,3859,3802,41
43,3860,3880,1,-1
44,3881,3986,1,-1
45,3987,4016,3889,44
46,4017,4023,3989,45
47,4024,4051,1,-1
48,4052,4104,1,-1
49,4105,4152,4071,48
50,4153,4228,4061,48
51,4229,4258,4166,50
52,4259,4375,1,-1
53,4376,4465,4287,52
54,4466,4559,1,-1
55,4560,4602,4522,54
56,4603,4710,4492,54
57,4711,4761,1,-1
58,4762,4802,4731,57
59,4803,4920,1,-1
60,4921,5027,4816,59
61,5028,5101,1,-1
62,5102,5162,5051,61
63,5163,5222,1,-1
64,5223,5283,5170,63
65,5284,5327,1,-1
66,5328,5407,1,-1
67,5408,5462,5340,66
68,5463,5555,1,-1
69,5556,5668,5473,68
70,5669,5736,5570,69
71,5737,5803,5558,69
72,5804,5938,1,-1
