branch_id,start,end,parent_point,parent_branch
0,2,18,1,-1
1,19,218,1,-1
2,219,269,68,1
3,270,358,28,1
4,359,453,277,3
5,454,478,1,-1
6,479,486,458,5
7,487,718,1,-1
8,719,735,683,7
9,736,1142,526,7
10,1143,1357,929,9
11,1358,1485,890,9
12,1486,1555,1373,11
13,1556,1761,845,9
14,1762,1802,1612,13
15,1803,1911,1575,13
16,1912,1953,1884,15
17,1954,2099,786,9
18,2100,2139,1988,17
19,2140,2424,499,7
20,2425,2546,494,7
21,2547,2663,1,-1
22,2664,2760,2611,21
23,2761,2825,2590,21
24,2826,2937,2558,21
25,2938,3104,1,-1
26,3105,3168,1,-1
27,3169,3356,1,-1
