branch_id,start,end,parent_point,parent_branch
0,2,110,1,-1
1,111,202,1,-1
2,203,222,147,1
3,223,394,1,-1
4,395,474,1,-1
5,475,482,408,4
6,483,493,1,-1
7,494,512,484,6
8,513,536,502,7
9,537,561,500,7
10,562,573,540,9
11,574,666,1,-1
12,667,700,583,11
13,701,727,1,-1
14,728,817,1,-1
15,818,926,1,-1
16,927,1055,844,15
17,1056,1578,936,16
18,1579,1618,1570,17
19,1619,1703,1536,17
20,1704,1758,1525,17
21,1759,1808,1711,20
22,1809,1836,1779,21
23,1837,1910,1078,17
24,1911,2004,833,15
25,2005,2095,1914,24
26,2096,2169,1,-1
27,2170,2273,2130,26
28,2274,2362,1,-1
29,2363,2412,2301,28
30,2413,2442,2369,29
31,2443,2542,1,-1
32,2543,2643,2450,31
