branch_id,start,end,parent_point,parent_branch
0,2,167,1,-1
1,168,215,119,0
2,216,222,73,0
3,223,288,53,0
4,289,314,10,0
5,315,369,1,-1
6,370,374,351,5
7,375,468,1,-1
8,469,542,413,7
9,543,641,385,7
10,642,697,570,9
11,698,751,1,-1
12,752,885,1,-1
13,886,926,793,12
14,927,1049,1,-1
15,1050,1144,939,14
16,1145,1215,1070,15
17,1216,1376,1,-1
18,1377,1800,1359,17
19,1801,1816,1701,18
20,1817,1885,1661,18
21,1886,1892,1883,20
22,1893,1951,1839,20
23,1952,2128,1643,18
24,2129,2209,1971,23
25,2210,2261,2173,24
26,2262,2291,2151,24
27,2292,2342,2145,24
28,2343,2539,1550,18
29,2540,2610,2481,28
30,2611,2727,2459,28
31,2728,2732,2678,30
32,2733,2873,2642,30
33,2874,2928,2755,32
34,2929,2973,2753,32
35,2974,3041,2624,30
36,3042,3134,2621,30
37,3135,3202,3110,36
38,3203,3210,3148,37
39,3211,3257,1334,17
40,3258,3302,1302,17
41,3303,3340,3265,40
42,3341,3400,1301,17
43,3401,3497,1291,17
44,3498,3521,3449,43
45,3522,3584,1275,17
46,3585,3641,3531,45
47,3642,3725,1264,17
48,3726,3754,3687,47
49,3755,3779,3673,47
50,3780,3879,1262,17
51,3880,3944,3807,50
52,3945,4018,1251,17
53,4019,4031,3962,52
54,4032,4119,1238,17
55,4120,4191,4049,54
56,4192,4216,4041,54
57,4217,4291,1233,17
58,4292,4366,4239,57
59,4367,4393,4313,58
60,4394,4420,4294,58
61,4421,4506,4229,57
62,4507,4630,1222,17
63,4631,4684,4516,62
64,4685,4700,4670,63
65,4701,4706,1,-1
66,4707,4790,1,-1
67,4791,4863,4724,66
68,4864,4980,1,-1
69,4981,5085,4877,68
70,5086,5112,5007,69
71,5113,5131,5102,70
72,5132,5195,4870,68
73,5196,5273,5138,72
74,5274,5311,1,-1
75,5312,5370,5283,74
76,5371,5390,5324,75
77,5391,5445,1,-1
78,5446,5517,1,-1
79,5518,5535,1,-1
