branch_id,start,end,parent_point,parent_branch
0,2,31,1,-1
1,32,165,1,-1
2,166,174,45,1
3,175,196,1,-1
4,197,327,1,-1
5,328,409,227,4
6,410,436,364,5
7,437,551,216,4
8,552,595,449,7
9,596,657,1,-1
10,658,665,647,9
11,666,737,616,9
12,738,834,607,9
13,835,897,772,12
14,898,1022,1,-1
15,1023,1044,909,14
16,1045,1077,1,-1
17,1078,1221,1053,16
18,1222,1274,1129,17
19,1275,1403,1082,17
20,1404,1448,1338,19
21,1449,1497,1,-1
22,1498,1604,1470,21
23,1605,1727,1463,21
24,1728,1833,1623,23
25,1834,1874,1760,24
26,1875,1993,1847,25
27,1994,2055,1889,26
28,2056,2238,1879,26
29,2239,2266,2188,28
30,2267,2670,2176,28
31,2671,2727,2547,30
32,2728,2815,2523,30
33,2816,2911,2748,32
34,2912,2974,2853,33
35,2975,3028,2938,34
36,3029,3175,2488,30
37,3176,3287,3129,36
38,3288,3370,3200,37
39,3371,3458,3088,36
40,3459,3608,3042,36
41,3609,3659,3510,40
42,3660,3730,2142,28
43,3731,3773,2068,28
44,3774,3868,1621,23
45,3869,3897,3786,44
46,3898,3996,1610,23
47,3997,4024,3911,46
48,4025,4153,1462,21
49,4154,4231,4040,48
