branch_id,start,end,parent_point,parent_branch
0,2,29,1,-1
1,30,48,20,0
2,49,65,34,1
3,66,86,1,-1
4,87,108,78,3
5,109,114,100,4
6,115,184,72,3
7,185,221,123,6
8,222,240,1,-1
9,241,310,1,-1
10,311,386,277,9
11,387,489,263,9
12,490,550,407,11
13,551,651,399,11
14,652,675,595,13
15,676,734,584,13
16,735,825,689,15
17,826,1384,683,15
18,1385,1421,1290,17
19,1422,1460,1281,17
20,1461,1573,1191,17
21,1574,1764,1473,20
22,1765,1916,1146,17
23,1917,1995,1823,22
24,1996,2009,1950,23
25,2010,2025,1944,23
26,2026,2118,1791,22
27,2119,2126,2087,26
28,2127,2147,2073,26
29,2148,2193,2065,26
30,2194,2197,2175,29
31,2198,2246,1010,17
32,2247,2309,956,17
33,2310,2350,917,17
34,2351,2435,864,17
35,2436,2515,835,17
36,2516,2558,2458,35
37,2559,2643,571,13
38,2644,2658,2604,37
39,2659,2724,2574,37
40,2725,2768,562,13
41,2769,2921,2741,40
42,2922,2960,557,13
43,2961,2997,2929,42
44,2998,3120,387,11
45,3121,3167,3003,44
46,3168,3193,3130,45
47,3194,3231,1,-1
48,3232,3325,3214,47
49,3326,3352,3208,47
50,3353,3454,1,-1
51,3455,3475,3404,50
52,3476,3504,3389,50
53,3505,3539,3382,50
54,3540,3616,3367,50
55,3617,3693,3545,54
56,3694,3781,3632,55
57,3782,3892,1,-1
58,3893,3974,3811,57
59,3975,4050,3808,57
60,4051,4105,3994,59
61,4106,4206,3794,57
62,4207,4279,4124,61
63,4280,4341,4114,61
64,4342,4437,1,-1
65,4438,4495,4395,64
66,4496,4564,4353,64
67,4565,4596,4518,66
68,4597,4624,4511,66
69,4625,4648,4612,68
