branch_id,start,end,parent_point,parent_branch
0,2,46,1,-1
1,47,70,1,-1
2,71,90,53,1
3,91,119,75,2
4,120,154,47,1
5,155,200,141,4
6,201,243,1,-1
7,244,291,229,6
8,292,344,219,6
9,345,367,307,8
10,368,411,350,9
11,412,470,1,-1
12,471,546,437,11
13,547,628,1,-1
14,629,703,557,13
15,704,731,631,14
16,732,803,719,15
17,804,927,1,-1
18,928,1008,1,-1
19,1009,1086,935,18
20,1087,1164,1016,19
21,1165,1214,1126,20
22,1215,1274,1172,21
23,1275,1347,1,-1
24,1348,1420,1313,23
25,1421,1476,1285,23
26,1477,1541,1428,25
27,1542,1648,1481,26
28,1649,1731,1565,27
29,1732,1806,1546,27
30,1807,1857,1735,29
31,1858,1900,1821,30
32,1901,2013,1812,30
33,2014,2099,1958,32
34,2100,2155,1951,32
35,2156,2242,2134,34
36,2243,2284,2167,35
37,2285,2359,2252,36
38,2360,2511,2247,36
39,2512,2610,2464,38
40,2611,2818,2576,39
41,2819,2842,2798,40
42,2843,2874,2837,41
43,2875,2947,2798,40
44,2948,3059,2749,40
45,3060,3087,3040,44
46,3088,3183,2994,44
47,3184,3315,2733,40
48,3316,3381,3270,47
49,3382,3444,3263,47
50,3445,3479,3425,49
51,3480,3551,3410,49
