branch_id,start,end,parent_point,parent_branch
0,2,136,1,-1
1,137,202,28,0
2,203,269,137,1
3,270,369,1,-1
4,370,390,347,3
5,391,442,277,3
6,443,514,411,5
7,515,524,449,6
8,525,586,393,5
9,587,628,1,-1
10,629,637,623,9
11,638,663,619,9
12,664,671,641,11
13,672,729,594,9
14,730,799,672,13
15,800,861,741,14
16,862,961,735,14
17,962,1094,1,-1
18,1095,1139,1,-1
19,1140,1195,1115,18
20,1196,1234,1108,18
21,1235,1282,1107,18
22,1283,1301,1264,21
23,1302,1339,1247,21
24,1340,1376,1,-1
25,1377,1426,1342,24
26,1427,1493,1387,25
27,1494,1504,1433,26
28,1505,1552,1,-1
29,1553,1629,1522,28
30,1630,1693,1510,28
31,1694,2107,1642,30
32,2108,2193,2033,31
33,2194,2268,2120,32
34,2269,2317,2214,33
35,2318,2417,2011,31
36,2418,2445,2374,35
37,2446,2466,2434,36
38,2467,2581,1939,31
39,2582,2734,2520,38
40,2735,2828,2616,39
41,2829,2867,2775,40
42,2868,3035,1700,31
43,3036,3162,1633,30
44,3163,3207,3044,43
45,3208,3230,3163,44
46,3231,3284,1,-1
47,3285,3295,3267,46
48,3296,3384,3248,46
49,3385,3447,3238,46
50,3448,3546,3394,49
51,3547,3623,3451,50
52,3624,3658,3553,51
53,3659,3784,3390,49
54,3785,3912,1,-1
55,3913,3927,1,-1
56,3928,4026,3919,55
57,4027,4134,3932,56
58,4135,4213,4046,57
