branch_id,start,end,parent_point,parent_branch
0,2,580,1,-1
1,581,632,550,0
2,633,681,601,1
3,682,752,392,0
4,753,859,74,0
5,860,895,61,0
6,896,909,43,0
7,910,1010,26,0
8,1011,1067,928,7
9,1068,1201,16,0
10,1202,1247,10,0
11,1248,1279,1,-1
12,1280,1363,1256,11
13,1364,1375,1,-1
14,1376,1440,1,-1
15,1441,1489,1,-1
16,1490,1548,1486,15
17,1549,1581,1,-1
18,1582,1606,1,-1
19,1607,1702,1,-1
20,1703,1714,1642,19
21,1715,1839,1614,19
22,1840,1856,1720,21
23,1857,1941,1,-1
24,1942,1971,1881,23
25,1972,2042,1,-1
26,2043,2058,1991,25
