branch_id,start,end,parent_point,parent_branch
0,2,24,1,-1
1,25,62,1,-1
2,63,150,37,1
3,151,196,80,2
4,197,239,77,2
5,240,303,204,4
6,304,398,1,-1
7,399,498,320,6
8,499,517,309,6
9,518,541,502,8
10,542,703,1,-1
11,704,729,556,10
12,730,1188,549,10
13,1189,1232,1113,12
14,1233,1303,1085,12
15,1304,1355,1256,14
16,1356,1493,1020,12
17,1494,1522,1463,16
18,1523,1555,1460,16
19,1556,1647,1413,16
20,1648,1677,1596,19
21,1678,1733,1569,19
22,1734,1847,734,12
23,1848,1921,1740,22
24,1922,2046,1864,23
25,2047,2159,1848,23
26,2160,2257,1,-1
27,2258,2305,2181,26
28,2306,2402,2181,26
29,2403,2455,2175,26
30,2456,2565,2166,26
31,2566,2662,1,-1
32,2663,2765,2577,31
33,2766,2863,1,-1
34,2864,2968,2786,33
35,2969,3130,1,-1
36,3131,3265,1,-1
