branch_id,start,end,parent_point,parent_branch
0,2,572,1,-1
1,573,581,520,0
2,582,597,483,0
3,598,638,475,0
4,639,677,454,0
5,678,793,443,0
6,794,864,763,5
7,865,953,691,5
8,954,973,874,7
9,974,1136,339,0
10,1137,1172,1113,9
11,1173,1216,1091,9
12,1217,1353,1181,11
13,1354,1403,1327,12
14,1404,1465,1086,9
15,1466,1486,1439,14
16,1487,1520,88,0
17,1521,1586,78,0
18,1587,1631,1525,17
19,1632,1717,67,0
20,1718,1735,1658,19
21,1736,1763,53,0
22,1764,1783,51,0
23,1784,1854,46,0
24,1855,1943,1789,23
25,1944,1987,29,0
26,1988,2106,14,0
27,2107,2201,12,0
28,2202,2292,2148,27
29,2293,2323,2129,27
30,2324,2404,2124,27
31,2405,2523,2118,27
32,2524,2557,1,-1
33,2558,2592,2535,32
34,2593,2642,2582,33
35,2643,2732,2532,32
36,2733,2780,2656,35
37,2781,2809,2738,36
38,2810,2842,2644,35
39,2843,2878,2822,38
40,2879,2982,1,-1
41,2983,3038,2914,40
42,3039,3057,2883,40
43,3058,3130,3042,42
44,3131,3196,1,-1
45,3197,3315,3143,44
46,3316,3346,3134,44
47,3347,3423,3331,46
48,3424,3470,1,-1
49,3471,3580,1,-1
50,3581,3654,3503,49
51,3655,3694,3484,49
52,3695,3711,3661,51
53,3712,3810,1,-1
54,3811,3893,1,-1
