branch_id,start,end,parent_point,parent_branch
0,2,641,1,-1
1,642,686,615,0
2,687,754,178,0
3,755,861,167,0
4,862,908,756,3
5,909,957,109,0
6,958,1056,52,0
7,1057,1132,1021,6
8,1133,1254,42,0
9,1255,1365,28,0
10,1366,1414,27,0
11,1415,1500,12,0
12,1501,1573,1425,11
13,1574,1623,1,-1
14,1624,1756,1599,13
15,1757,1794,1582,13
16,1795,1945,1774,15
17,1946,1987,1,-1
18,1988,2001,1964,17
19,2002,2193,1,-1
20,2194,2272,1,-1
21,2273,2362,2214,20
22,2363,2485,2204,20
23,2486,2612,1,-1
24,2613,2648,2534,23
25,2649,2699,1,-1
26,2700,2749,1,-1
27,2750,2943,1,-1
28,2944,3041,2755,27
29,3042,3095,3005,28
30,3096,3145,2949,28
