branch_id,start,end,parent_point,parent_branch
0,2,106,1,-1
1,107,120,76,0
2,121,146,34,0
3,147,296,1,-1
4,297,432,177,3
5,433,520,323,4
6,521,557,1,-1
7,558,596,1,-1
8,597,620,568,7
9,621,652,1,-1
10,653,681,626,9
11,682,787,655,10
12,788,863,701,11
13,864,977,1,-1
14,978,1057,880,13
15,1058,1167,979,14
16,1168,1187,1059,15
17,1188,1283,1,-1
18,1284,1373,1213,17
19,1374,1444,1212,17
20,1445,1465,1211,17
21,1466,1588,1208,17
22,1589,1678,1472,21
23,1679,1717,1631,22
24,1718,1824,1611,22
25,1825,1950,1723,24
26,1951,2002,1858,25
27,2003,2073,1848,25
28,2074,2114,2007,27
29,2115,2705,2083,28
30,2706,2780,2576,29
31,2781,2947,2522,29
32,2948,3032,2820,31
33,3033,3080,2957,32
34,3081,3154,3048,33
35,3155,3220,3125,34
36,3221,3446,2460,29
37,3447,3591,3313,36
38,3592,3687,3498,37
39,3688,3696,3633,38
40,3697,3846,3280,36
41,3847,3903,3759,40
42,3904,3940,3851,41
43,3941,4004,3753,40
44,4005,4035,3955,43
45,4036,4077,3736,40
46,4078,4119,2258,29
47,4120,4170,2130,29
48,4171,4196,1840,25
49,4197,4289,4182,48
50,4290,4328,1193,17
51,4329,4379,1,-1
52,4380,4546,1,-1
53,4547,4629,4390,52
54,4630,4698,4612,53
55,4699,4852,1,-1
