branch_id,start,end,parent_point,parent_branch
0,2,30,1,-1
1,31,43,17,0
2,44,75,10,0
3,76,83,68,2
4,84,162,58,2
5,163,201,94,4
6,202,241,1,-1
7,242,298,1,-1
8,299,348,275,7
9,349,369,307,8
10,370,426,1,-1
11,427,491,387,10
12,492,515,447,11
13,516,553,499,12
14,554,644,434,11
15,645,680,602,14
16,681,723,1,-1
17,724,752,692,16
18,753,826,692,16
19,827,873,803,18
20,874,978,760,18
21,979,1050,904,20
22,1051,1125,874,20
23,1126,1252,1063,22
24,1253,1318,1142,23
25,1319,1383,1253,24
26,1384,1430,1320,25
27,1431,1507,1392,26
28,1508,1569,1454,27
29,1570,2050,1522,28
30,2051,2101,1999,29
31,2102,2197,1997,29
32,2198,2312,1944,29
33,2313,2328,2227,32
34,2329,2378,2318,33
35,2379,2421,2334,34
36,2422,2608,1841,29
37,2609,2713,2480,36
38,2714,2771,2696,37
39,2772,2815,2625,37
40,2816,2870,2801,39
41,2871,2961,2478,36
42,2962,3000,2922,41
43,3001,3047,2918,41
44,3048,3253,1823,29
45,3254,3375,3213,44
46,3376,3417,3343,45
47,3418,3429,3258,45
48,3430,3435,3258,45
49,3436,3474,3187,44
50,3475,3601,3077,44
51,3602,3686,3519,50
52,3687,3738,3639,51
53,3739,3801,3629,51
54,3802,3823,3748,53
55,3824,3895,1643,29
56,3896,3942,1588,29
57,3943,4055,1576,29
58,4056,4081,3955,57
59,4082,4185,1447,27
60,4186,4238,4098,59
61,4239,4279,1434,27
62,4280,4308,1140,23
63,4309,4350,1135,23
64,4351,4399,690,16
65,4400,4479,4355,64
66,4480,4527,4448,65
67,4528,4603,1,-1
68,4604,4653,4587,67
69,4654,4714,4554,67
70,4715,4754,4670,69
71,4755,4844,4531,67
72,4845,4871,4817,71
73,4872,4932,4780,71
74,4933,4988,4779,71
75,4989,5064,4770,71
76,5065,5166,1,-1
77,5167,5243,5107,76
78,5244,5341,5079,76
79,5342,5416,5263,78
80,5417,5525,5076,76
81,5526,5582,5439,80
82,5583,5656,1,-1
83,5657,5712,5610,82
84,5713,5763,5666,83
85,5764,5799,5593,82
86,5800,5883,5774,85
