branch_id,start,end,parent_point,parent_branch
0,2,23,1,-1
1,24,31,18,0
2,32,107,5,0
3,108,149,86,2
4,150,229,1,-1
5,230,248,1,-1
6,249,273,243,5
7,274,281,261,6
8,282,328,251,6
9,329,366,237,5
10,367,378,1,-1
11,379,453,375,10
12,454,519,394,11
13,520,589,387,11
14,590,607,1,-1
15,608,696,597,14
16,697,721,1,-1
17,722,802,709,16
18,803,894,736,17
19,895,972,1,-1
20,973,1039,936,19
21,1040,1094,930,19
22,1095,1208,1,-1
23,1209,1265,1,-1
24,1266,1315,1256,23
25,1316,1470,1245,23
26,1471,1571,1412,25
27,1572,1746,1534,26
28,1747,1921,1688,27
29,1922,1944,1914,28
30,1945,1998,1873,28
31,1999,2128,1849,28
32,2129,2242,2109,31
33,2243,2330,2052,31
34,2331,2435,2029,31
35,2436,2562,1814,28
36,2563,2626,2550,35
37,2627,2706,2506,35
38,2707,2747,2691,37
39,2748,2795,2688,37
40,2796,2875,1646,27
41,2876,2903,1622,27
42,2904,2955,1402,25
43,2956,3018,1354,25
44,3019,3065,1343,25
45,3066,3135,3035,44
46,3136,3228,1331,25
47,3229,3307,1239,23
48,3308,3417,1234,23
49,3418,3480,1222,23
50,3481,3514,3447,49
51,3515,3537,3435,49
52,3538,3552,1,-1
53,3553,3573,3541,52
