branch_id,start,end,parent_point,parent_branch
0,2,50,1,-1
1,51,127,1,-1
2,128,225,55,1
3,226,315,143,2
4,316,357,1,-1
5,358,432,337,4
6,433,469,321,4
7,470,486,447,6
8,487,510,1,-1
9,511,532,489,8
10,533,626,1,-1
11,627,745,562,10
12,746,862,559,10
13,863,921,759,12
14,922,1009,1,-1
15,1010,1133,942,14
16,1134,1203,1025,15
17,1204,1221,933,14
18,1222,1265,1,-1
19,1266,1287,1243,18
20,1288,1311,1275,19
21,1312,1366,1291,20
22,1367,1412,1231,18
23,1413,1439,1397,22
24,1440,1449,1368,22
25,1450,1520,1223,18
26,1521,1627,1475,25
27,1628,1684,1,-1
28,1685,1715,1654,27
29,1716,1809,1635,27
30,1810,1897,1748,29
31,1898,1961,1828,30
32,1962,2063,1737,29
33,2064,2183,1,-1
34,2184,2196,2078,33
35,2197,2290,2078,33
36,2291,2336,2202,35
37,2337,2365,2310,36
38,2366,2422,1,-1
39,2423,2431,2411,38
40,2432,2601,2389,38
41,2602,3020,2440,40
42,3021,3172,2931,41
43,3173,3217,3067,42
44,3218,3247,3188,43
45,3248,3339,3032,42
46,3340,3435,3289,45
47,3436,3516,3263,45
48,3517,3624,2915,41
49,3625,3662,3565,48
50,3663,3706,3628,49
51,3707,3777,3545,48
52,3778,3812,3760,51
53,3813,3942,2383,38
54,3943,4073,3846,53
55,4074,4100,2381,38
56,4101,4188,4090,55
57,4189,4200,1,-1
