branch_id,start,end,parent_point,parent_branch
0,2,12,1,-1
1,13,51,7,0
2,52,56,38,1
3,57,130,1,-1
4,131,140,88,3
5,141,222,133,4
6,223,299,1,-1
7,300,367,235,6
8,368,439,228,6
9,440,502,396,8
10,503,565,395,8
11,566,612,1,-1
12,613,630,1,-1
13,631,665,1,-1
14,666,688,662,13
15,689,719,1,-1
16,720,824,696,15
17,825,922,693,15
18,923,1007,848,17
19,1008,1107,825,17
20,1108,1170,1037,19
21,1171,1206,1136,20
22,1207,1226,1037,19
23,1227,1301,1019,19
24,1302,1357,1259,23
25,1358,1413,1254,23
26,1414,1507,1242,23
27,1508,1551,1417,26
28,1552,1601,1530,27
29,1602,1646,1525,27
30,1647,1709,1618,29
31,1710,1771,1609,29
32,1772,1843,1721,31
33,1844,1918,1802,32
34,1919,1983,1862,33
35,1984,2187,1922,34
36,2188,2587,2125,35
37,2588,2626,2442,36
38,2627,2751,2414,36
39,2752,2821,2646,38
40,2822,2983,2384,36
41,2984,3155,2906,40
42,3156,3287,2900,40
43,3288,3378,3212,42
44,3379,3638,2297,36
45,3639,3642,3600,44
46,3643,3705,3515,44
47,3706,3795,3501,44
48,3796,3837,3744,47
49,3838,3847,2203,36
50,3848,3900,2033,35
51,3901,3971,1995,35
52,3972,4013,3908,51
53,4014,4068,1799,32
54,4069,4108,1799,32
55,4109,4177,1018,19
56,4178,4231,4134,55
57,4232,4295,1,-1
58,4296,4348,1,-1
59,4349,4417,4317,58
60,4418,4487,4304,58
61,4488,4573,4428,60
62,4574,4669,4489,61
63,4670,4720,4577,62
