branch_id,start,end,parent_point,parent_branch
0,2,81,1,-1
1,82,168,1,-1
2,169,205,1,-1
3,206,291,190,2
4,292,360,213,3
5,361,432,303,4
6,433,441,186,2
7,442,535,181,2
8,536,581,495,7
9,582,655,1,-1
10,656,669,583,9
11,670,708,1,-1
12,709,802,678,11
13,803,873,676,11
14,874,956,813,13
15,957,1049,1,-1
16,1050,1090,963,15
17,1091,1185,1,-1
18,1186,1242,1120,17
19,1243,1280,1114,17
20,1281,1322,1108,17
21,1323,1391,1098,17
22,1392,1444,1,-1
23,1445,1481,1400,22
24,1482,1547,1399,22
25,1548,1606,1492,24
26,1607,1702,1554,25
27,1703,1799,1483,24
28,1800,1877,1,-1
29,1878,1959,1814,28
30,1960,2061,1885,29
31,2062,2143,1884,29
32,2144,2192,1,-1
33,2193,2323,2154,32
34,2324,2349,2231,33
35,2350,2720,2194,33
36,2721,2759,2693,35
37,2760,2830,2732,36
38,2831,2870,2766,37
39,2871,2960,2652,35
40,2961,3019,2927,39
41,3020,3096,2907,39
42,3097,3147,3031,41
43,3148,3161,3117,42
44,3162,3252,2896,39
45,3253,3281,3209,44
46,3282,3328,2376,35
47,3329,3346,3317,46
48,3347,3459,3300,46
49,3460,3585,2354,35
50,3586,3640,3486,49
51,3641,3705,3468,49
52,3706,3732,2154,32
53,3733,3750,3711,52
54,3751,3788,3706,52
